Number_of_days,Deployment,DateTime_GMT-07:00,MAX_surface_PAR,Integrated_surface_PAR,Max_underwater_PAR,Integrated_underwater_PAR,PAR_transmission_to_17.1m_depth,Kd-PAR
311,three,2022-03-25 00:00,2279,53.754,592,12.102,26.6,0.077
312,three,2022-03-26 00:00,2214,52.643,500,10.391,21.2,0.091
313,three,2022-03-27 00:00,2311,51.591,491,9.525,20.7,0.092
314,three,2022-03-28 00:00,2214,53.948,514,11.06,22.3,0.088
315,three,2022-03-29 00:00,2187,53.591,522,11.898,24.1,0.083
316,three,2022-03-30 00:00,2405,40.124,491,9.754,22,0.088
317,three,2022-03-31 00:00,2382,48.632,507,10.15,22,0.089
318,three,2022-04-01 00:00,2554,43.649,630,9.731,25.1,0.081
319,three,2022-04-02 00:00,2490,50.887,614,9.33,23,0.086
320,three,2022-04-03 00:00,2554,44.317,692,10.243,24.5,0.082
321,three,2022-04-04 00:00,2142,45.637,653,11.622,27.6,0.075
322,three,2022-04-05 00:00,2380,44.051,608,13.105,26.8,0.077
323,three,2022-04-06 00:00,2222,49.67,489,9.715,21.5,0.09
324,three,2022-04-07 00:00,2220,51.04,509,10.193,23.8,0.084
325,three,2022-04-08 00:00,2449,50.276,578,10.58,24.5,0.082
326,three,2022-04-09 00:00,2337,44.571,633,10.106,26.2,0.078
327,three,2022-04-10 00:00,2115,37.349,585,8.629,23,0.086
328,three,2022-04-11 00:00,2005,49.718,572,12.423,28,0.075
329,three,2022-04-12 00:00,2050,50.795,583,12.125,28,0.074
330,three,2022-04-13 00:00,1745,21.151,572,5.085,23.9,0.084
331,three,2022-04-14 00:00,2181,48.683,588,11.372,25.4,0.08
332,three,2022-04-15 00:00,2187,49.6,420,10.12,20,0.094
333,three,2022-04-16 00:00,2401,41.949,561,11.515,24.9,0.081
334,three,2022-04-17 00:00,2437,43.073,366,6.504,15.7,0.108
335,three,2022-04-18 00:00,1879,47.717,565,12.303,29.4,0.072
336,three,2022-04-19 00:00,1879,46.876,496,10.313,25.7,0.079
337,three,2022-04-20 00:00,2197,39.608,493,9.954,24.9,0.081
338,three,2022-04-21 00:00,1502,15.791,564,5.165,36.3,0.059
339,three,2022-04-22 00:00,2487,38.774,582,9.071,22.9,0.086
340,three,2022-04-23 00:00,2379,30.638,617,7.802,25.6,0.08
341,three,2022-04-24 00:00,1825,44.044,515,10.532,26.8,0.077
342,three,2022-04-25 00:00,2045,46.16,504,10.426,24.1,0.083
343,three,2022-04-26 00:00,1886,45.002,506,10.752,25.1,0.081
344,gap,2022-04-27 00:00,2125,37.46,NA,NA,NA,NA
345,gap,2022-04-28 00:00,NA,NA,NA,NA,NA,NA
346,four,2022-04-29 00:00,2122,46.116,467,8.171,22.1,0.088
347,four,2022-04-30 00:00,2164,42.782,447,7.915,22.2,0.088
348,four,2022-05-01 00:00,2117,45.156,510,7.865,22.6,0.087
349,four,2022-05-02 00:00,2027,41.49,312,5.209,16,0.107
350,four,2022-05-03 00:00,2221,32.417,388,4.821,17.5,0.102
351,four,2022-05-04 00:00,2355,36.383,422,7.28,20.5,0.093
352,four,2022-05-05 00:00,2210,32.402,342,4.56,15,0.111
353,four,2022-05-06 00:00,2104,37.453,392,6.461,20,0.094
354,four,2022-05-07 00:00,1431,23.896,284,4.621,19.3,0.096
355,four,2022-05-08 00:00,2375,44.063,404,5.421,16.3,0.106
356,four,2022-05-09 00:00,2050,41.869,465,6.778,20.4,0.093
357,four,2022-05-10 00:00,1962,37.894,431,6.671,22.4,0.087
358,four,2022-05-11 00:00,2137,32.242,353,4.798,15.6,0.109
359,four,2022-05-12 00:00,1865,39.902,409,7.371,21.7,0.089
360,four,2022-05-13 00:00,1774,41.353,422,6.975,22.1,0.088
361,four,2022-05-14 00:00,1945,41.329,360,6.136,18.8,0.098
362,four,2022-05-15 00:00,2032,37.658,363,6.207,18.2,0.1
363,four,2022-05-16 00:00,2115,29.093,366,4.818,17.3,0.103
364,four,2022-05-17 00:00,1966,37.115,422,5.874,19.3,0.096
365,four,2022-05-18 00:00,2019,30.921,444,5.685,21.8,0.089
366,four,2022-05-19 00:00,1720,37.718,399,7.064,22.8,0.086
367,four,2022-05-20 00:00,2077,33.472,353,5.415,18.7,0.098
368,four,2022-05-21 00:00,1901,42.947,311,4.981,16.2,0.107
369,four,2022-05-22 00:00,1754,41.2,315,5.623,17.8,0.101
370,four,2022-05-23 00:00,1905,40.505,334,6.335,18.7,0.098
371,four,2022-05-24 00:00,1740,41.522,315,5.878,18.4,0.099
372,four,2022-05-25 00:00,1822,37.98,269,4.73,15.5,0.109
373,four,2022-05-26 00:00,1871,38.634,367,6.134,19.5,0.095
374,four,2022-05-27 00:00,1891,42.009,369,6.71,19.9,0.094
375,four,2022-05-28 00:00,1647,39.429,315,5.85,19,0.097
376,four,2022-05-29 00:00,1696,38.526,353,6.291,20.2,0.094
377,four,2022-05-30 00:00,1675,40.087,290,5.488,17.2,0.103
