Number_of_days,Deployment,DateTime_GMT-07:00,MAX_surface_PAR,Integrated_surface_PAR,Max_underwater_PAR,Integrated_underwater_PAR,PAR_transmission_to_17.1m_depth,Kd-PAR
761,seven,2023-06-18 00:00,1756,34.371,466,7.692,26.5,0.083
762,seven,2023-06-19 00:00,1647,39.352,360,7.228,21.8,0.088
763,seven,2023-06-20 00:00,1705,34.77,424,7.325,24.8,0.085
764,seven,2023-06-21 00:00,2145,30.594,385,6.09,17.9,0.096
765,seven,2023-06-22 00:00,2041,33.602,373,6.486,18.3,0.093
766,seven,2023-06-23 00:00,1944,23.329,378,5.101,19.4,0.085
767,seven,2023-06-24 00:00,1615,36.815,412,8.047,25.5,0.083
768,seven,2023-06-25 00:00,1907,30.709,368,6.443,19.3,0.09
769,seven,2023-06-26 00:00,1995,32.759,290,5.158,14.5,0.108
770,seven,2023-06-27 00:00,1886,37.367,335,7.061,17.8,0.095
771,seven,2023-06-28 00:00,1942,32.292,400,6.242,20.6,0.09
772,seven,2023-06-29 00:00,1880,38.891,401,7.872,21.3,0.088
773,seven,2023-06-30 00:00,1895,40.1,364,7.288,19.2,0.095
774,seven,2023-07-01 00:00,1540,37.906,320,6.493,20.8,0.093
775,seven,2023-07-02 00:00,1926,36.658,336,6.116,17.4,0.1
776,seven,2023-07-03 00:00,1986,38.902,363,7.4,18.3,0.099
777,seven,2023-07-04 00:00,1546,37.647,363,7.311,23.5,0.087
778,seven,2023-07-05 00:00,1822,36.308,353,7.123,19.3,0.092
779,seven,2023-07-06 00:00,1701,26.325,432,5.927,25.4,0.076
780,seven,2023-07-07 00:00,1920,39.764,355,7.136,18.5,0.093
781,seven,2023-07-08 00:00,1647,32.561,336,6.334,20.4,0.087
782,seven,2023-07-09 00:00,2080,30.665,422,7.183,20.3,0.094
783,seven,2023-07-10 00:00,1796,38.535,370,7.376,20.6,0.092
784,seven,2023-07-11 00:00,1722,39.488,365,7.727,21.2,0.089
785,seven,2023-07-12 00:00,1582,38.343,385,7.975,24.3,0.084
786,seven,2023-07-13 00:00,1695,22.508,316,4.856,18.6,0.08
787,seven,2023-07-14 00:00,2020,35.228,456,7.8,22.6,0.083
788,seven,2023-07-15 00:00,1794,39.215,337,7.11,18.8,0.093
789,seven,2023-07-16 00:00,1859,37.643,404,7.936,21.7,0.088
790,seven,2023-07-17 00:00,1615,39.743,368,7.844,22.8,0.087
791,seven,2023-07-18 00:00,2101,26.984,412,5.724,19.6,0.081
792,seven,2023-07-19 00:00,881,15.588,192,2.903,21.7,0.089
793,seven,2023-07-20 00:00,1651,34.292,400,7.469,24.2,0.084
794,seven,2023-07-21 00:00,1966,37.799,417,8.191,21.2,0.088
795,seven,2023-07-22 00:00,1640,39.399,360,7.858,22,0.089
796,seven,2023-07-23 00:00,1691,36.911,386,7.821,22.8,0.086
797,seven,2023-07-24 00:00,2167,29.151,394,6.986,18.2,0.092
798,seven,2023-07-25 00:00,2252,25.301,317,4.426,14.1,0.097
799,seven,2023-07-26 00:00,1874,29.585,380,5.231,20.3,0.087
800,seven,2023-07-27 00:00,2212,32.717,361,6.288,16.3,0.096
801,seven,2023-07-28 00:00,1276,17.606,297,3.07,23.3,0.094
802,seven,2023-07-29 00:00,2010,40.442,430,5.898,21.4,0.095
803,seven,2023-07-30 00:00,1894,32.038,362,5.429,19.1,0.092
804,seven,2023-07-31 00:00,1759,42.545,400,8.255,22.7,0.086
805,seven,2023-08-01 00:00,1861,40.71,345,6.199,18.5,0.097
806,seven,2023-08-02 00:00,1726,42.529,374,7.695,21.7,0.091
807,seven,2023-08-03 00:00,2066,33.232,397,6.875,19.2,0.094
808,seven,2023-08-04 00:00,2295,27.836,415,4.383,18.1,0.099
809,seven,2023-08-05 00:00,2269,29.867,475,5.046,20.9,0.074
810,seven,2023-08-06 00:00,1742,40.22,399,8.577,22.9,0.087
811,seven,2023-08-07 00:00,2016,40.095,403,6.766,20,0.099
812,seven,2023-08-08 00:00,1279,16.559,294,3.896,23,0.074
813,seven,2023-08-09 00:00,2261,34.674,498,8.114,22,0.083
814,seven,2023-08-10 00:00,1754,25.355,374,5.693,21.3,0.079
815,seven,2023-08-11 00:00,2055,27.509,524,5.963,25.5,0.079
816,seven,2023-08-12 00:00,2331,37.559,469,9.289,20.1,0.085
817,seven,2023-08-13 00:00,2254,33.622,414,7.416,18.4,0.081
818,seven,2023-08-14 00:00,1699,28.565,462,6.312,27.2,0.081
819,seven,2023-08-15 00:00,2167,36.905,465,7.581,21.5,0.089
820,seven,2023-08-16 00:00,2480,42.468,493,8.611,19.9,0.089
821,seven,2023-08-17 00:00,2396,40.532,470,6.763,19.6,0.099
822,seven,2023-08-18 00:00,2099,34.656,444,7.443,21.2,0.09
823,seven,2023-08-19 00:00,2170,34.709,563,7.195,25.9,0.086
824,seven,2023-08-20 00:00,2277,39.429,500,7.511,21.9,0.087
825,gap,2023-08-21 00:00,NA,NA,NA,NA,NA,NA
826,eight,2023-08-22 00:00,2134,47.412,507,11.083,23.7,0.081
827,eight,2023-08-23 00:00,1817,44.307,495,11.19,27.2,0.077
828,eight,2023-08-24 00:00,1847,47.729,525,11.613,28.4,0.075
829,eight,2023-08-25 00:00,2334,36.254,646,8.772,27.7,0.07
830,eight,2023-08-26 00:00,2010,41.624,522,9.441,26,0.077
831,eight,2023-08-27 00:00,2121,43.694,537,10.812,25.3,0.078
832,eight,2023-08-28 00:00,2470,43.568,515,8.895,20.8,0.09
833,eight,2023-08-29 00:00,2319,37.929,514,8.288,22.2,0.084
834,eight,2023-08-30 00:00,2194,29.104,586,8.391,26.7,0.056
835,eight,2023-08-31 00:00,2094,45.022,467,9.357,22.3,0.087
836,eight,2023-09-01 00:00,2392,36.086,491,8.661,20.5,0.086
837,eight,2023-09-02 00:00,2171,23.083,482,5.926,22.2,0.078
838,eight,2023-09-03 00:00,2276,29.944,570,7.21,25,0.076
839,eight,2023-09-04 00:00,2311,24.156,385,4.986,16.7,0.091
840,eight,2023-09-05 00:00,1966,25.089,560,5.672,28.5,0.068
841,eight,2023-09-06 00:00,2415,40.16,421,6.996,17.4,0.099
842,eight,2023-09-07 00:00,1766,21.944,397,4.196,22.5,0.085
843,eight,2023-09-08 00:00,2372,50.558,375,7.57,15.8,0.105
844,eight,2023-09-09 00:00,2421,44.889,599,8.49,24.7,0.086
845,eight,2023-09-10 00:00,1607,26.699,286,4.527,17.8,0.103
846,eight,2023-09-11 00:00,1612,18.518,351,4.456,21.8,0.08
847,eight,2023-09-12 00:00,2507,37.382,499,7.843,19.9,0.086
848,eight,2023-09-13 00:00,2554,40.538,598,9.1,23.4,0.084
849,eight,2023-09-14 00:00,2321,19.908,247,4.183,10.6,0.092
850,eight,2023-09-15 00:00,2399,36.627,576,9.35,24,0.08
851,eight,2023-09-16 00:00,2552,47.707,701,11.294,27.5,0.08
852,eight,2023-09-17 00:00,2554,40.585,577,8.338,22.6,0.089
853,eight,2023-09-18 00:00,1974,27.099,441,5.494,22.3,0.085
854,eight,2023-09-19 00:00,2000,49.216,519,11.197,25.9,0.079
855,eight,2023-09-20 00:00,2366,42.606,569,11.565,24.1,0.075
856,eight,2023-09-21 00:00,1596,25.747,399,5.852,25,0.079
857,eight,2023-09-22 00:00,1059,10.106,226,2.3,21.4,0.08
858,eight,2023-09-23 00:00,1352,20.224,426,4.678,31.5,0.073
859,eight,2023-09-24 00:00,2554,43.745,671,10.195,26.3,0.076
860,eight,2023-09-25 00:00,1184,14.195,212,3.642,17.9,0.079
861,eight,2023-09-26 00:00,2554,47.809,562,10.562,22,0.088
862,eight,2023-09-27 00:00,2507,46.896,554,12.148,22.1,0.084
863,eight,2023-09-28 00:00,2366,56.392,563,11.874,23.8,0.084
864,eight,2023-09-29 00:00,2431,56.008,594,13.444,24.4,0.079
865,eight,2023-09-30 00:00,2371,55.42,569,12.791,24,0.084
866,eight,2023-10-01 00:00,2417,46.192,592,9.701,24.5,0.085
867,eight,2023-10-02 00:00,2090,28.095,477,5.971,22.8,0.09
868,eight,2023-10-03 00:00,2554,46.264,652,12.987,25.5,0.076
869,eight,2023-10-04 00:00,2301,50.934,544,11.615,23.6,0.083
870,eight,2023-10-05 00:00,2400,56.263,616,13.011,25.7,0.078
871,eight,2023-10-06 00:00,2204,50.998,647,13.345,29.4,0.074
872,eight,2023-10-07 00:00,2554,49.009,637,12.297,24.9,0.076
873,eight,2023-10-08 00:00,2554,39.775,557,10.671,21.8,0.086
874,eight,2023-10-09 00:00,2516,53.008,573,12.317,22.8,0.081
875,eight,2023-10-10 00:00,2419,45.384,560,11.64,23.2,0.084
876,eight,2023-10-11 00:00,2466,53.896,624,13.451,25.3,0.079
877,eight,2023-10-12 00:00,2214,52.599,576,12.29,26,0.078
878,eight,2023-10-13 00:00,2250,49.162,561,10.601,24.9,0.083
879,eight,2023-10-14 00:00,2214,49.858,506,11.009,22.8,0.086
880,eight,2023-10-15 00:00,2321,38.683,602,10.935,25.9,0.076
881,eight,2023-10-16 00:00,2554,37.834,611,10.994,23.9,0.074
882,eight,2023-10-17 00:00,2219,39.151,710,9.765,32,0.075
883,eight,2023-10-18 00:00,1359,23.863,318,5.791,23.4,0.081
884,eight,2023-10-19 00:00,2554,32.021,587,7.524,23,0.075
885,eight,2023-10-20 00:00,1291,21.413,459,4.663,35.5,0.083
886,eight,2023-10-21 00:00,2554,44.128,633,8.278,24.8,0.081
887,eight,2023-10-22 00:00,2074,36.61,513,7.328,24.7,0.086
888,eight,2023-10-23 00:00,2554,59.243,620,12.486,24.3,0.078
889,eight,2023-10-24 00:00,2282,49.706,671,11.806,29.4,0.072
890,eight,2023-10-25 00:00,1412,19.125,309,3.958,21.8,0.087
891,eight,2023-10-26 00:00,2252,25.518,556,6.464,24.7,0.077
892,eight,2023-10-27 00:00,849,11.723,172,2.73,20.3,0.083
893,eight,2023-10-28 00:00,2554,46.319,660,12.497,25.8,0.077
894,eight,2023-10-29 00:00,2554,46.27,703,13.054,27.5,0.074
895,eight,2023-10-30 00:00,2554,50.158,697,13.605,27.3,0.075
896,eight,2023-10-31 00:00,2414,48.288,691,14.71,28.6,0.071
897,eight,2023-11-01 00:00,2110,26.347,710,9.123,33.7,0.052
898,eight,2023-11-02 00:00,2554,33.249,735,9.274,28.8,0.069
899,eight,2023-11-03 00:00,1321,20.39,544,6.033,41.1,0.054
900,eight,2023-11-04 00:00,981,12.993,204,2.523,20.8,0.09
901,eight,2023-11-05 00:00,2554,33.979,731,7.524,28.6,0.075
902,eight,2023-11-06 00:00,2340,31.689,655,8.683,28,0.07
903,eight,2023-11-07 00:00,2554,57.466,693,12.332,27.1,0.076
904,eight,2023-11-08 00:00,2554,41.282,813,13.535,31.8,0.059
905,eight,2023-11-09 00:00,2400,56.536,741,15.513,30.9,0.069
906,eight,2023-11-10 00:00,2501,56.286,691,15.089,27.6,0.073
907,eight,2023-11-11 00:00,2447,51.401,740,13.869,30.2,0.067
908,eight,2023-11-12 00:00,2554,27.808,757,7.518,29.6,0.068
909,eight,2023-11-13 00:00,2554,36.028,817,10.459,32,0.056
910,eight,2023-11-14 00:00,2554,50.896,712,10.478,27.9,0.077
911,eight,2023-11-15 00:00,2554,38.279,741,9.571,29,0.064
912,eight,2023-11-16 00:00,2554,46.03,696,10.991,27.3,0.075
913,eight,2023-11-17 00:00,2212,60.82,755,16.385,34.1,0.065
914,eight,2023-11-18 00:00,2554,48.046,658,13.917,25.8,0.073
915,eight,2023-11-19 00:00,2507,42.574,775,10.393,30.9,0.073
916,eight,2023-11-20 00:00,1035,21.269,154,3.269,14.8,0.109
917,eight,2023-11-21 00:00,2554,29.753,585,8.864,22.9,0.061
918,eight,2023-11-22 00:00,2234,28.57,633,9.663,28.4,0.055
919,eight,2023-11-23 00:00,1467,28.09,310,5.496,21.1,0.086
920,eight,2023-11-24 00:00,2554,40.711,719,9.703,28.2,0.081
921,eight,2023-11-25 00:00,2307,58.459,566,12.206,24.5,0.082
922,eight,2023-11-26 00:00,2414,56.033,585,11.528,24.2,0.084
923,eight,2023-11-27 00:00,2454,57.307,244,4.132,9.9,0.138
924,eight,2023-11-28 00:00,2546,39.649,280,4.601,11,0.118
925,eight,2023-11-29 00:00,2554,55.628,483,8.945,18.9,0.102
926,eight,2023-11-30 00:00,2476,55.618,432,8.576,17.5,0.102
927,eight,2023-12-01 00:00,2554,54.742,554,11.276,21.7,0.085
928,eight,2023-12-02 00:00,2402,55.159,517,9.813,21.5,0.093
929,eight,2023-12-03 00:00,2501,53.364,653,14.16,26.1,0.076
930,eight,2023-12-04 00:00,2447,47.067,552,9.892,22.5,0.082
931,eight,2023-12-05 00:00,697,14.627,116,2.608,16.6,0.096
932,eight,2023-12-06 00:00,1702,26.45,397,5.773,23.3,0.079
933,eight,2023-12-07 00:00,2554,35.298,703,8.745,27.5,0.075
934,eight,2023-12-08 00:00,1731,30.337,296,5.341,17.1,0.103
935,eight,2023-12-09 00:00,2554,36.43,514,9.341,20.1,0.088
936,eight,2023-12-10 00:00,2554,37.729,473,8.771,18.5,0.091
937,eight,2023-12-11 00:00,2554,48.609,646,12.836,25.3,0.081
938,eight,2023-12-12 00:00,2554,34.135,734,8.627,28.8,0.076
939,eight,2023-12-13 00:00,2554,23.965,506,5.067,19.8,0.086
940,eight,2023-12-14 00:00,2554,30.418,247,4.569,9.7,0.113
941,eight,2023-12-15 00:00,2347,55.09,585,13.099,24.9,0.081
942,eight,2023-12-16 00:00,2455,56.056,552,12.606,22.5,0.087
943,eight,2023-12-17 00:00,2554,45.131,700,10.787,27.4,0.078
944,eight,2023-12-18 00:00,2542,27.62,415,5.982,16.3,0.088
945,eight,2023-12-19 00:00,1586,22.597,274,4.336,17.3,0.093
946,eight,2023-12-20 00:00,2554,31.137,496,4.435,19.4,0.104
947,eight,2023-12-21 00:00,2332,21.957,305,2.154,13.1,0.119
948,eight,2023-12-22 00:00,2554,43.652,384,4.461,15,0.126
949,eight,2023-12-23 00:00,1376,19.404,124,2.195,9,0.126
950,eight,2023-12-24 00:00,1235,20.811,151,2.609,12.3,0.116
951,eight,2023-12-25 00:00,2554,43.017,517,8.432,20.3,0.089
952,eight,2023-12-26 00:00,2554,54.167,524,9.182,20.5,0.096
953,eight,2023-12-27 00:00,2554,55.348,490,10.369,19.2,0.097
954,eight,2023-12-28 00:00,2554,52.876,633,12.44,24.8,0.082
955,eight,2023-12-29 00:00,2410,57.144,526,10.776,21.8,0.089
956,eight,2023-12-30 00:00,2554,57.243,692,14.797,27.1,0.075
957,eight,2023-12-31 00:00,2432,52.6,581,10.664,23.9,0.087
958,eight,2024-01-01 00:00,2554,53.566,483,9.816,18.9,0.095
959,eight,2024-01-02 00:00,1156,22.455,272,4.885,23.5,0.082
960,eight,2024-01-03 00:00,1791,23.654,227,3.615,12.7,0.11
961,eight,2024-01-04 00:00,2292,22.732,490,4.838,21.4,0.087
962,eight,2024-01-05 00:00,2140,28.768,361,5.096,16.9,0.094
963,eight,2024-01-06 00:00,2554,36.077,264,4.033,10.3,0.126
964,eight,2024-01-07 00:00,2554,31.068,594,6.241,23.2,0.079
965,eight,2024-01-08 00:00,2554,49.246,442,8.991,17.3,0.103
966,eight,2024-01-09 00:00,2554,52.339,323,5.547,12.7,0.127
967,eight,2024-01-10 00:00,2536,33.535,338,4.493,13.3,0.114
968,eight,2024-01-11 00:00,2467,52.219,528,6.304,21.4,0.094
969,eight,2024-01-12 00:00,2554,58.047,584,10.577,22.9,0.086
970,eight,2024-01-13 00:00,2554,44.368,456,7.956,17.9,0.094
971,eight,2024-01-14 00:00,2554,49.973,600,12.297,23.5,0.082
972,eight,2024-01-15 00:00,2476,51.243,551,11.353,22.2,0.083
973,eight,2024-01-16 00:00,2554,38.449,667,9.434,26.1,0.076
974,eight,2024-01-17 00:00,2554,58.879,699,12.895,27.4,0.078
975,eight,2024-01-18 00:00,2376,52.693,601,13.058,25.3,0.08
976,eight,2024-01-19 00:00,2554,59.101,503,12.325,19.7,0.089
977,eight,2024-01-20 00:00,976,15.762,207,2.996,21.2,0.088
978,eight,2024-01-21 00:00,1527,19.918,486,3.58,31.8,0.09
979,eight,2024-01-22 00:00,2526,35.224,454,7.124,18,0.093
980,eight,2024-01-23 00:00,2554,45.781,386,5.334,15.1,0.113
981,eight,2024-01-24 00:00,1694,25.111,254,3.677,15,0.11
982,eight,2024-01-25 00:00,2200,32.225,460,5.931,20.9,0.09
983,eight,2024-01-26 00:00,2554,37.573,557,8.927,21.8,0.083
984,eight,2024-01-27 00:00,2554,42.155,696,8.194,27.2,0.08
985,eight,2024-01-28 00:00,2550,56.576,476,8.533,18.7,0.1
986,eight,2024-01-29 00:00,2279,28.35,NA,NA,NA,NA
