site,time_utc,time_local,temperature_c
B23,2023-07-31 06:11:59,2023-07-30 20:11:59,26.8697
B23,2023-07-31 06:13:59,2023-07-30 20:13:59,26.8608
B23,2023-07-31 06:15:59,2023-07-30 20:15:59,26.8607
B23,2023-07-31 06:17:59,2023-07-30 20:17:59,26.8639
B23,2023-07-31 06:19:59,2023-07-30 20:19:59,26.8606
B23,2023-07-31 06:21:59,2023-07-30 20:21:59,26.8567
B23,2023-07-31 06:23:59,2023-07-30 20:23:59,26.8575
B23,2023-07-31 06:25:59,2023-07-30 20:25:59,26.8529
B23,2023-07-31 06:27:59,2023-07-30 20:27:59,26.8552
B23,2023-07-31 06:29:59,2023-07-30 20:29:59,26.8481
B23,2023-07-31 06:31:59,2023-07-30 20:31:59,26.846
B23,2023-07-31 06:33:59,2023-07-30 20:33:59,26.8369
B23,2023-07-31 06:35:59,2023-07-30 20:35:59,26.8309
B23,2023-07-31 06:37:59,2023-07-30 20:37:59,26.826
B23,2023-07-31 06:39:59,2023-07-30 20:39:59,26.8157
B23,2023-07-31 06:41:59,2023-07-30 20:41:59,26.817
B23,2023-07-31 06:43:59,2023-07-30 20:43:59,26.8274
B23,2023-07-31 06:45:59,2023-07-30 20:45:59,26.8168
B23,2023-07-31 06:47:59,2023-07-30 20:47:59,26.8189
B23,2023-07-31 06:49:59,2023-07-30 20:49:59,26.8195
B23,2023-07-31 06:51:59,2023-07-30 20:51:59,26.8166
B23,2023-07-31 06:53:59,2023-07-30 20:53:59,26.8128
B23,2023-07-31 06:55:59,2023-07-30 20:55:59,26.8096
B23,2023-07-31 06:57:59,2023-07-30 20:57:59,26.8044
B23,2023-07-31 06:59:59,2023-07-30 20:59:59,26.7987
B23,2023-07-31 07:01:59,2023-07-30 21:01:59,26.7956
B23,2023-07-31 07:03:59,2023-07-30 21:03:59,26.7847
B23,2023-07-31 07:05:59,2023-07-30 21:05:59,26.7879
B23,2023-07-31 07:07:59,2023-07-30 21:07:59,26.7775
B23,2023-07-31 07:09:59,2023-07-30 21:09:59,26.7749
B23,2023-07-31 07:11:59,2023-07-30 21:11:59,26.7684
B23,2023-07-31 07:13:59,2023-07-30 21:13:59,26.7495
B23,2023-07-31 07:15:59,2023-07-30 21:15:59,26.752
B23,2023-07-31 07:17:59,2023-07-30 21:17:59,26.7528
B23,2023-07-31 07:19:59,2023-07-30 21:19:59,26.7361
B23,2023-07-31 07:21:59,2023-07-30 21:21:59,26.7445
B23,2023-07-31 07:23:59,2023-07-30 21:23:59,26.7414
B23,2023-07-31 07:25:59,2023-07-30 21:25:59,26.7382
B23,2023-07-31 07:27:59,2023-07-30 21:27:59,26.731
B23,2023-07-31 07:29:59,2023-07-30 21:29:59,26.7415
B23,2023-07-31 07:31:59,2023-07-30 21:31:59,26.7419
B23,2023-07-31 07:33:59,2023-07-30 21:33:59,26.7295
B23,2023-07-31 07:35:59,2023-07-30 21:35:59,26.7485
B23,2023-07-31 07:37:59,2023-07-30 21:37:59,26.7425
B23,2023-07-31 07:39:59,2023-07-30 21:39:59,26.7501
B23,2023-07-31 07:41:59,2023-07-30 21:41:59,26.7536
B23,2023-07-31 07:43:59,2023-07-30 21:43:59,26.7476
B23,2023-07-31 07:45:59,2023-07-30 21:45:59,26.7512
B23,2023-07-31 07:47:59,2023-07-30 21:47:59,26.7513
B23,2023-07-31 07:49:59,2023-07-30 21:49:59,26.7586
B23,2023-07-31 07:51:59,2023-07-30 21:51:59,26.7398
B23,2023-07-31 07:53:59,2023-07-30 21:53:59,26.7462
B23,2023-07-31 07:55:59,2023-07-30 21:55:59,26.7483
B23,2023-07-31 07:57:59,2023-07-30 21:57:59,26.7516
B23,2023-07-31 07:59:59,2023-07-30 21:59:59,26.7502
B23,2023-07-31 08:01:59,2023-07-30 22:01:59,26.7511
B23,2023-07-31 08:03:59,2023-07-30 22:03:59,26.7467
B23,2023-07-31 08:05:59,2023-07-30 22:05:59,26.7512
B23,2023-07-31 08:07:59,2023-07-30 22:07:59,26.7511
B23,2023-07-31 08:09:59,2023-07-30 22:09:59,26.7512
B23,2023-07-31 08:11:59,2023-07-30 22:11:59,26.7515
B23,2023-07-31 08:13:59,2023-07-30 22:13:59,26.7451
B23,2023-07-31 08:15:59,2023-07-30 22:15:59,26.7444
B23,2023-07-31 08:17:59,2023-07-30 22:17:59,26.7607
B23,2023-07-31 08:19:59,2023-07-30 22:19:59,26.7679
B23,2023-07-31 08:21:59,2023-07-30 22:21:59,26.769
B23,2023-07-31 08:23:59,2023-07-30 22:23:59,26.7718
B23,2023-07-31 08:25:59,2023-07-30 22:25:59,26.762
B23,2023-07-31 08:27:59,2023-07-30 22:27:59,26.7634
B23,2023-07-31 08:29:59,2023-07-30 22:29:59,26.765
B23,2023-07-31 08:31:59,2023-07-30 22:31:59,26.7679
B23,2023-07-31 08:33:59,2023-07-30 22:33:59,26.766
B23,2023-07-31 08:35:59,2023-07-30 22:35:59,26.7625
B23,2023-07-31 08:37:59,2023-07-30 22:37:59,26.7716
B23,2023-07-31 08:39:59,2023-07-30 22:39:59,26.7747
B23,2023-07-31 08:41:59,2023-07-30 22:41:59,26.7693
B23,2023-07-31 08:43:59,2023-07-30 22:43:59,26.7742
B23,2023-07-31 08:45:59,2023-07-30 22:45:59,26.7703
B23,2023-07-31 08:47:59,2023-07-30 22:47:59,26.7672
B23,2023-07-31 08:49:59,2023-07-30 22:49:59,26.7682
B23,2023-07-31 08:51:59,2023-07-30 22:51:59,26.7663
B23,2023-07-31 08:53:59,2023-07-30 22:53:59,26.7636
B23,2023-07-31 08:55:59,2023-07-30 22:55:59,26.7574
B23,2023-07-31 08:57:59,2023-07-30 22:57:59,26.7571
B23,2023-07-31 08:59:59,2023-07-30 22:59:59,26.7563
B23,2023-07-31 09:01:59,2023-07-30 23:01:59,26.7581
B23,2023-07-31 09:03:59,2023-07-30 23:03:59,26.7554
B23,2023-07-31 09:05:59,2023-07-30 23:05:59,26.7425
B23,2023-07-31 09:07:59,2023-07-30 23:07:59,26.7471
B23,2023-07-31 09:09:59,2023-07-30 23:09:59,26.7493
B23,2023-07-31 09:11:59,2023-07-30 23:11:59,26.7499
B23,2023-07-31 09:13:59,2023-07-30 23:13:59,26.7502
B23,2023-07-31 09:15:59,2023-07-30 23:15:59,26.7425
B23,2023-07-31 09:17:59,2023-07-30 23:17:59,26.7391
B23,2023-07-31 09:19:59,2023-07-30 23:19:59,26.7361
B23,2023-07-31 09:21:59,2023-07-30 23:21:59,26.734
B23,2023-07-31 09:23:59,2023-07-30 23:23:59,26.73
B23,2023-07-31 09:25:59,2023-07-30 23:25:59,26.7195
B23,2023-07-31 09:27:59,2023-07-30 23:27:59,26.7137
