Date_french_format,Number,Stage,Timing,Site,Transect,ID,Replicate,Data,Backup,Quantity_DNA._RNA._shield_Data.ml.,Quantity_DNA._RNA._shield_backup.ml.,Box_name_Data,Box_name_backup,Freezer_US_tubes,Freezer_backup_moorea,Wirlpak,Picture,Picture_name,Recruit_size_cm2,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Scleractinian.corals,Macroalgae,Crustose.coralline.algae,Algal.turf,Millepora,Sand,dalle_coralienne,Others,Note1,gDNA.Extraction.Date,gDNA.Extraction.Plate,Plate.Well,Priority,Haplotype ,Note2,Extraction.Notebook.Link
20/02/2023,1236,Adult,Pre_bleach,S1,T2,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1236_S1_T2,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,E6,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1237,Recruit,Pre_bleach,S1,T2,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1237_S1_T2,1.521,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,F3,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1238,Recruit,Pre_bleach,S1,T2,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,NO,YES,1238_S1_T2,0.249,NA,,NA,NA,NA,NA,0,1,1,0,0,0,0,0,,,Plate002,D9,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1231,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1231_S1_T3,1.293,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,D10,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1268,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1268_S1_T3,7.852,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,G7,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1269,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1269_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,C9,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1270,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1270_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,B3,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1271,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1271_S1_T3,3.263,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,A10,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1272,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,NO,YES,1272_S1_T3,0.509,NA,,NA,NA,NA,NA,0,0,1,0,0,0,0,0,,,Plate002,G2,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1273,Recruit,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1273_S1_T3,5.686,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,C4,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
21/02/2023,1274,Adult,Pre_bleach,S1,T3,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1274_S1_T3,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,A6,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
