Collection.Date,Sample.ID,Stage,Site,Transect
19/12/2023,2529,Adult,S11,T4
19/12/2023,2530,Adult,S11,T4
19/12/2023,2532,Adult,S11,T4
19/12/2023,2534,Adult,S11,T4
19/12/2023,2535,Adult,S11,T4
19/12/2023,2536,Adult,S11,T4
19/12/2023,2537,Adult,S11,T4
19/12/2023,2538,Recruit,S11,T4
19/12/2023,2686,Adult,S11,T4
19/12/2023,2687,Recruit,S11,T4
19/12/2023,2688,Recruit,S11,T4
19/12/2023,2689,Adult,S11,T4
19/12/2023,2690,Adult,S11,T4
19/12/2023,2697,Recruit,S11,T4
19/12/2023,2698,Adult,S11,T4
19/12/2023,2699,Adult,S11,T4
19/12/2023,2700,Adult,S11,T4
19/12/2023,2701,Adult,S11,T4
19/12/2023,2702,Recruit,S11,T4
19/12/2023,2703,Adult,S11,T4
19/12/2023,2704,Adult,S11,T4
19/12/2023,2705,Adult,S11,T4
19/12/2023,2706,Adult,S11,T4
19/12/2023,2707,Recruit,S11,T4
19/12/2023,2708,Recruit,S11,T4
19/12/2023,2709,Adult,S11,T4
19/12/2023,2710,Recruit,S11,T4
19/12/2023,2711,Recruit,S11,T4
19/12/2023,2712,Adult,S11,T4
19/12/2023,2713,Recruit,S11,T4
19/12/2023,2714,Recruit,S11,T4
19/12/2023,2715,Recruit,S11,T4
19/12/2023,2716,Recruit,S11,T4
19/12/2023,2717,Recruit,S11,T4
19/12/2023,2718,Adult,S11,T4
19/12/2023,2719,Recruit,S11,T4
19/12/2023,2720,Adult,S11,T4
19/12/2023,2721,Adult,S11,T4
19/12/2023,2722,Recruit,S11,T4
19/12/2023,2723,Adult,S11,T4
19/12/2023,2724,Adult,S11,T4
19/12/2023,2725,Adult,S11,T4
19/12/2023,2726,Recruit,S11,T4
19/12/2023,2727,Recruit,S11,T4
19/12/2023,2728,Recruit,S11,T4
19/12/2023,2729,Adult,S11,T4
19/12/2023,2730,Adult,S11,T4
19/12/2023,2731,Recruit,S11,T4
19/12/2023,2732,Recruit,S11,T4
19/12/2023,2733,Recruit,S11,T4
19/12/2023,2734,Adult,S11,T4
20/12/2023,2691,Adult,S11,T5
20/12/2023,2692,Recruit,S11,T5
20/12/2023,2693,Recruit,S11,T5
20/12/2023,2694,Adult,S11,T5
20/12/2023,2695,Adult,S11,T5
20/12/2023,2696,Recruit,S11,T5
20/12/2023,2735,Recruit,S11,T5
