site,date_local,min_temp_c,max_temp_c,median_temp_c,mean_temp_c
B18,2021-08-18,26.7842,27.0321,26.87385,26.89041931
B19,2021-08-18,26.7155,27.1101,26.8312,26.86775319
B20,2021-08-18,26.6561,27.0642,26.79715,26.82784569
B21,2021-08-18,26.5919,27.0536,26.785,26.80486903
B22,2021-08-18,26.5715,27.0065,26.75125,26.75991944
B01,2021-08-19,26.7614,27.1239,26.8826,26.91749568
B02,2021-08-19,26.7785,26.8134,26.7956,26.79511429
B03,2021-08-19,26.7807,27.0953,26.8547,26.89085058
B04,2021-08-19,26.7862,27.0949,26.8336,26.86906573
B10,2021-08-19,26.6955,27.2583,26.8467,26.91528417
B10.5,2021-08-19,26.6996,27.2546,26.8395,26.88762097
B11,2021-08-19,26.7474,27.1808,26.8462,26.89193472
B12,2021-08-19,26.6841,27.2903,26.81605,26.87847778
B13,2021-08-19,26.7029,27.1884,26.83105,26.86298986
B14,2021-08-19,26.739,27.1088,26.85225,26.89245861
B15,2021-08-19,26.7231,27.0225,26.8137,26.83543125
B16,2021-08-19,26.6922,27.0322,26.8012,26.82934639
B17,2021-08-19,26.6186,27.0357,26.7558,26.76766806
B18,2021-08-19,26.6364,26.9421,26.81005,26.80450792
B19,2021-08-19,26.6491,26.9841,26.75645,26.77800986
B20,2021-08-19,26.5785,26.8815,26.6829,26.70932625
B21,2021-08-19,26.5718,26.8799,26.65495,26.68237083
B22,2021-08-19,26.5723,26.8594,26.63645,26.67235194
N01,2021-08-19,26.7774,27.1131,26.833,26.85834242
N02,2021-08-19,26.7882,27.1037,26.8491,26.87093933
N03,2021-08-19,26.7927,27.064,26.87,26.88689068
N04,2021-08-19,26.7303,27.0773,26.7985,26.81676944
N05,2021-08-19,26.713,27.102,26.771,26.80986188
B01,2021-08-20,26.7001,27.3757,26.7907,26.91100528
B02,2021-08-20,26.7115,27.3932,26.84495,26.93212556
B03,2021-08-20,26.7178,27.3196,26.86015,26.93247486
B04,2021-08-20,26.6799,27.4061,26.83435,26.93564111
B05,2021-08-20,26.7147,27.3667,26.8989,26.9676123
B06,2021-08-20,26.7812,27.2401,26.9722,27.003905
B07,2021-08-20,26.8594,27.3753,27.0453,27.08559948
B08,2021-08-20,26.7516,27.4264,26.932,27.03905806
B09,2021-08-20,26.7248,27.3567,27.1305,27.05247506
B10,2021-08-20,26.6647,26.9842,26.75645,26.77767292
B10.5,2021-08-20,26.671,26.9859,26.75925,26.78341694
B11,2021-08-20,26.6575,26.9869,26.76435,26.78304514
B12,2021-08-20,26.6422,27.0599,26.7538,26.79710861
B13,2021-08-20,26.5885,27.0571,26.72455,26.76015389
B14,2021-08-20,26.6182,26.9496,26.72495,26.75694431
B15,2021-08-20,26.58,26.9427,26.7173,26.73855097
B16,2021-08-20,26.5716,26.9199,26.72045,26.73206861
B17,2021-08-20,26.6352,26.9992,26.75535,26.77451639
B18,2021-08-20,26.6027,26.9249,26.74485,26.75436903
B19,2021-08-20,26.5996,27.2017,26.7565,26.80186542
B20,2021-08-20,26.624,27.1109,26.78385,26.81822569
B21,2021-08-20,26.6071,27.0772,26.78825,26.80424958
B22,2021-08-20,26.5909,27.1261,26.78425,26.80986264
N01,2021-08-20,26.6161,27.508,26.84995,26.93511694
N02,2021-08-20,26.6521,27.4591,26.8735,26.93081194
N03,2021-08-20,26.6822,27.4154,26.9076,26.92996264
N04,2021-08-20,26.5679,27.5519,26.79005,26.92922875
N05,2021-08-20,26.5339,27.7066,26.74945,26.93928986
B01,2021-08-21,26.6156,27.1059,26.76165,26.81294514
B02,2021-08-21,26.6465,27.1131,26.7853,26.84127069
B03,2021-08-21,26.7473,27.1595,26.82215,26.88111069
B04,2021-08-21,26.6326,27.1599,26.7473,26.81338917
B05,2021-08-21,26.6835,27.1074,26.80435,26.85491431
B06,2021-08-21,26.7033,27.0368,26.76675,26.81737028
B07,2021-08-21,26.6187,27.0603,26.801,26.82575458
B08,2021-08-21,26.5468,27.1645,26.7385,26.79246806
B09,2021-08-21,26.3497,27.0636,26.72875,26.74719764
B10,2021-08-21,26.6444,27.0064,26.70685,26.75889292
B10.5,2021-08-21,26.6815,27.0027,26.731,26.77396125
B11,2021-08-21,26.655,26.972,26.72945,26.75165806
B12,2021-08-21,26.6099,27.0593,26.6903,26.73911153
B13,2021-08-21,26.588,26.9963,26.67445,26.72270403
B14,2021-08-21,26.6352,26.9719,26.70085,26.74435347
B15,2021-08-21,26.6502,26.9003,26.7068,26.72633125
B16,2021-08-21,26.6344,26.8478,26.7189,26.72756986
B17,2021-08-21,26.6896,26.9884,26.7453,26.77732194
B18,2021-08-21,26.6955,26.9354,26.7635,26.79035278
B19,2021-08-21,26.6921,27.0894,26.77725,26.82267986
B20,2021-08-21,26.6396,27.0912,26.7903,26.82533597
B21,2021-08-21,26.667,27.0645,26.76965,26.81678736
B22,2021-08-21,26.5873,27.0842,26.76165,26.80959542
N01,2021-08-21,26.6362,27.1867,26.7543,26.81533264
N02,2021-08-21,26.6635,27.1175,26.76105,26.81463139
N03,2021-08-21,26.6886,27.058,26.79665,26.828375
N04,2021-08-21,26.5531,27.2725,26.68405,26.78801056
N05,2021-08-21,26.481,27.3328,26.63755,26.76969472
B01,2021-08-22,26.5826,26.9533,26.7074,26.73200958
B02,2021-08-22,26.6391,26.948,26.70395,26.74170861
B03,2021-08-22,26.6726,26.9365,26.7541,26.76029431
B04,2021-08-22,26.5857,26.9691,26.6929,26.71978944
B05,2021-08-22,26.5797,26.9966,26.7183,26.72604278
B06,2021-08-22,26.6293,26.9643,26.72675,26.74092944
B07,2021-08-22,26.511,26.9585,26.67545,26.69611889
B08,2021-08-22,26.5213,26.9904,26.68965,26.69601986
B09,2021-08-22,26.3556,26.9391,26.7029,26.66667208
B10,2021-08-22,26.6222,26.9216,26.68475,26.69955792
B10.5,2021-08-22,26.6485,26.9388,26.70635,26.71650194
B11,2021-08-22,26.6424,26.8238,26.68445,26.6913775
B12,2021-08-22,26.5476,26.8677,26.65745,26.66411472
B13,2021-08-22,26.4875,26.8439,26.6269,26.64045597
B14,2021-08-22,26.5504,26.862,26.65375,26.67775667
B15,2021-08-22,26.6321,26.8393,26.6974,26.71321236
B16,2021-08-22,26.6557,26.8682,26.71185,26.72447514
B17,2021-08-22,26.6379,26.9137,26.73025,26.73678958
B18,2021-08-22,26.6334,26.8523,26.73435,26.73388556
B19,2021-08-22,26.6436,26.9726,26.72855,26.74317056
B20,2021-08-22,26.5395,26.9639,26.69215,26.70671458
B21,2021-08-22,26.5527,26.981,26.6752,26.70868694
B22,2021-08-22,26.5166,27.0102,26.66585,26.69676611
N01,2021-08-22,26.564,26.9635,26.69105,26.7143775
N02,2021-08-22,26.595,26.958,26.711,26.72536222
N03,2021-08-22,26.6166,26.9416,26.72665,26.73904708
N04,2021-08-22,26.4656,26.9894,26.63765,26.67574472
N05,2021-08-22,26.3917,27.0468,26.59795,26.64552819
B01,2021-08-23,26.5683,27.225,26.6916,26.79147306
B02,2021-08-23,26.594,27.3126,26.69195,26.81923528
B03,2021-08-23,26.6171,27.2184,26.7665,26.82536153
B04,2021-08-23,26.5941,27.2237,26.6813,26.79040458
B05,2021-08-23,26.5702,27.1783,26.735,26.80585181
B06,2021-08-23,26.5638,27.1312,26.7519,26.78517472
B07,2021-08-23,26.4192,27.1566,26.8144,26.80330042
B08,2021-08-23,26.5656,27.325,26.67145,26.80626819
B09,2021-08-23,26.4874,27.1462,26.75715,26.80322861
B10,2021-08-23,26.5028,27.2708,26.64565,26.7638275
B10.5,2021-08-23,26.5858,27.1829,26.66925,26.78533639
B11,2021-08-23,26.5933,27.0787,26.6889,26.77201125
B12,2021-08-23,26.4999,27.2829,26.67045,26.79040417
B13,2021-08-23,26.4456,27.2724,26.6233,26.74768139
B14,2021-08-23,26.526,27.2689,26.6333,26.76621889
B15,2021-08-23,26.634,27.0379,26.68385,26.7509775
B16,2021-08-23,26.6161,27.0463,26.6836,26.76663861
B17,2021-08-23,26.5994,27.1691,26.7284,26.794425
B18,2021-08-23,26.5877,27.0483,26.70665,26.78283611
B19,2021-08-23,26.5821,27.1579,26.70345,26.81089681
B20,2021-08-23,26.4628,27.1925,26.6467,26.73924111
B21,2021-08-23,26.4125,27.1325,26.63605,26.70900181
B22,2021-08-23,26.358,27.2047,26.6336,26.71430333
N01,2021-08-23,26.5726,27.3329,26.6752,26.79419861
N02,2021-08-23,26.6146,27.2515,26.69005,26.78923181
N03,2021-08-23,26.6572,27.1969,26.7235,26.79672458
