"","Date_french_format","Number.x","Stage","Site","Transect","ID","Replicate","Data","Backup","Quantity_DNA._RNA._shield_Data.ml.","Quantity_DNA._RNA._shield_backup.ml.","Box_name_Data","Box_name_backup","Freezer_US_tubes","Freezer_backup_moorea","Wirlpak","Picture","Picture_name","Recruit_size_cm2","Red_standard","Green_standard","Blue_standard","Red_coral","Green_coral","Blue_coral","Scleractinian.corals","Macroalgae","Crustose.coralline.algae","Algal.turf","Millepora","Sand","dalle_coralienne","Others","Note1","gDNA.Extraction.Date","gDNA.Extraction.Plate.x","Plate.Well","Priority","Haplotype","Note2","Extraction.Notebook.Link","IDS","Number.y","gDNA.Extraction.Plate.y","Well","X","X.1","X.2","X.3","X.4","X.5"
"23","20/02/2023","1232","Adult","S1","T2","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1232_S1_T2",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","G9",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1232_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","20/02/2023","1233","Recruit","S1","T2","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1233_S1_T2",8.487,NA,"",NA,NA,NA,NA,0,1,0,1,0,0,0,0,"",NA,"Plate002","F12",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1233_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","20/02/2023","1234","Recruit","S1","T2","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1234_S1_T2",1.476,NA,"",NA,NA,NA,NA,0,0,0,1,0,0,0,0,"",NA,"Plate002","C3",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1234_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","20/02/2023","1235","Adult","S1","T2","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1235_S1_T2",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","C12",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1235_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","20/02/2023","1236","Adult","S1","T2","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1236_S1_T2",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","E6",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1236_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","20/02/2023","1237","Recruit","S1","T2","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1237_S1_T2",1.521,NA,"",NA,NA,NA,NA,0,1,0,0,0,0,0,0,"",NA,"Plate002","F3",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1237_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20/02/2023","1238","Recruit","S1","T2","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","NO","YES","1238_S1_T2",0.249,NA,"",NA,NA,NA,NA,0,1,1,0,0,0,0,0,"",NA,"Plate002","D9",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1238_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","21/02/2023","1231","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1231_S1_T3",1.293,NA,"",NA,NA,NA,NA,0,1,0,0,0,0,0,0,"",NA,"Plate002","D10",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1231_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","21/02/2023","1268","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1268_S1_T3",7.852,NA,"",NA,NA,NA,NA,1,0,0,0,0,0,0,0,"",NA,"Plate002","G7",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1268_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","21/02/2023","1269","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1269_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","C9",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1269_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","21/02/2023","1270","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1270_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","B3",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1270_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","21/02/2023","1271","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1271_S1_T3",3.263,NA,"",NA,NA,NA,NA,1,0,0,0,0,0,0,0,"",NA,"Plate002","A10",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1271_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","21/02/2023","1272","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","NO","YES","1272_S1_T3",0.509,NA,"",NA,NA,NA,NA,0,0,1,0,0,0,0,0,"",NA,"Plate002","G2",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1272_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","21/02/2023","1273","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1273_S1_T3",5.686,NA,"",NA,NA,NA,NA,0,1,0,0,0,0,0,0,"",NA,"Plate002","C4",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1273_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","21/02/2023","1274","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1274_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","A6",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1274_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","21/02/2023","1275","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1275_S1_T3",11.559,NA,"",NA,NA,NA,NA,1,0,0,0,0,0,0,0,"",NA,"Plate002","B12",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1275_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","21/02/2023","1276","Adult","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1276_S1_T3",NA,NA,"",NA,NA,NA,NA,0,0,0,0,0,0,0,0,"",NA,"Plate002","F10",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1276_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","21/02/2023","1277","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1277_S1_T3",5.782,NA,"",NA,NA,NA,NA,0,0,1,0,0,0,0,0,"",NA,"Plate002","D6",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1277_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","21/02/2023","1278","Recruit","S1","T3","POC_ID",2,1,1,0.5,0.5,"Site_1","Site_1_backup","_20__C","_40_up","YES","YES","1278_S1_T3",2.988,NA,"",NA,NA,NA,NA,0,0,0,1,0,0,0,0,"",NA,"Plate002","B7",NA,"","","https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/","1278_Plate002",NA,NA,NA,NA,NA,NA,NA,NA,NA
